time_s,state,target_id,ee_x_m,ee_y_m,ee_z_m,target_error_m,q_1_rad,q_2_rad,q_3_rad,q_4_rad,q_5_rad,q_6_rad
2.4,idle,,0.4200063572502842,-0.09999141809462236,0.4500008101535602,1.0710746000058105e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.648225428226129,-1.5708229225265147,-2.120037919624266
2.5,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535601,1.0710746000127954e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
2.6,idle,,0.4200063572502841,-0.0999914180946223,0.4500008101535602,1.0710746000080754e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265145,-2.120037919624266
2.7,idle,,0.4200063572502842,-0.09999141809462218,0.4500008101535601,1.0710746000194262e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261288,-1.5708229225265147,-2.120037919624266
2.8,idle,,0.4200063572502843,-0.09999141809462207,0.4500008101535602,1.071074600035751e-05,-3.6908872474511276,-1.7611199980128454,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
2.9,idle,,0.420006357250284,-0.09999141809462234,0.45000081015355986,1.0710745999956306e-05,-3.6908872474511285,-1.7611199980128458,1.8385554150806864,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
3.0,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
3.1,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
3.2,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
3.3,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
3.4,pick,n-large-1,0.3988807919168115,-0.1695793449898215,0.3239469807018471,0.2863326400067,-3.8165272474511283,-1.6354799980128458,2.027075415080685,-1.7980201523601769,-1.743245149937932,-2.2926568743865667
3.5,pick,n-large-1,0.3991615228177489,-0.26967841839848333,0.2357431940314016,0.1606167305868753,-4.025927247451128,-1.4260799980128458,2.07709499742939,-2.1122201523601767,-1.5325323619267341,-2.4730837385027256
3.6,pick,n-large-1,0.444355111813909,-0.3074753192589417,0.18263749132165585,0.07671663723123999,-4.003307616996996,-1.2166799980128458,2.007239709154793,-2.357087067274876,-1.54039758294632,-2.4325830921151392
3.7,lift,n-large-1,0.5057917836881533,-0.34635654917633,0.190699633306965,0.1914625995621168,-3.962883855332365,-1.0910399980128458,1.8409895133570147,-2.486467727912137,-1.5679144882412412,-2.3916501712938656
3.8,lift,n-large-1,0.5169504280703779,-0.35680596176434465,0.35627978218350187,0.025288493398294455,-3.961511387150865,-1.2729750890729674,1.6684674470703893,-2.297947727912137,-1.565839366015173,-2.3897260160379914
3.9,reject,n-large-1,0.49762242872530893,-0.3426551805716707,0.37162218703367156,0.008792353756751083,-3.9684891507182645,-1.3240591869832472,1.6231750604378443,-1.983747727912137,-1.5694575778616418,-2.3975418964493342
4.0,reject,n-large-1,0.4568573296218982,-0.12201874282222784,0.31292333319748633,0.688416751224492,-3.7590891507182644,-1.5334591869832486,1.9373750604378461,-1.669547727912137,-1.2552575778616426,-2.250426950267064
4.1,reject,n-large-1,0.34123138920845203,0.055636982491642756,0.2612564202007392,0.49586489581131854,-3.549689150718265,-1.7428591869832475,2.2515750604378457,-1.378608018909216,-1.0181984204127468,-2.1114364675718846
4.2,reject,n-large-1,0.3118252268258954,0.12960292836995457,0.303751204136139,0.4141124016533846,-3.3402891507182657,-1.9522591869832489,2.336321858133558,-1.6928080189092156,-0.99315858232327,-1.8503551485194245
4.3,reject,n-large-1,0.2560983820348034,0.1941496952495227,0.33308574152886433,0.3461986355378282,-3.1308891507182666,-2.112024822062501,2.4109330596356244,-1.9008188152220622,-0.9594447356554877,-1.5361551485194247
4.4,reject,n-large-1,0.2892219448215208,0.2510566146598845,0.35592800586376616,0.29001976564593707,-2.9214891507182665,-1.9026248220625006,2.2310485088323317,-1.9516313211871932,-1.071807069082743,-1.3665604525432764
4.5,reject,n-large-1,0.30713623870172096,0.33326944079330084,0.35553359525184397,0.21061319264536557,-2.712089150718266,-1.6932248220625006,2.071195113913951,-2.012357097391104,-1.1472242814297011,-1.141250125861888
4.6,reject,n-large-1,0.31161712929276314,0.43033103464861877,0.35312009002003975,0.11803136944874855,-2.5026891507182665,-1.4838248220625008,1.851884364673472,-1.9822686815421875,-1.3116439842444567,-0.9387170634301517
4.7,reject,n-large-1,0.28143428634079076,0.528312511045999,0.34089922401064465,0.016375252852838963,-2.293289150718267,-1.3017193096764466,1.6461335620930484,-1.9197965198879372,-1.5284881152004501,-0.724087155387028
4.8,return,,0.28877712679028,0.39580471856144217,0.31261810922574906,0.5309571972522016,-2.4259727673067344,-1.4553591507754393,1.8488170743402759,-1.6619450539952554,-1.8209356392338614,-0.8234440324004219
4.9,return,,0.3335674037380523,0.2769919472387206,0.4193500826160954,0.38798574640708566,-2.635372767306734,-1.6647591507754396,1.8243711648058558,-1.5079800151061709,-2.1351356392338614,-1.0085701867912968
5.0,return,,0.3253620026589121,0.1868721125788953,0.4566481078004392,0.3021525390486342,-2.844772767306734,-1.8741591507754398,1.9447642033880033,-1.6616588381351267,-2.0997336988875763,-1.3082618512365425
5.1,return,,0.3919664369238519,0.12255863523488042,0.44810460141046293,0.22432525339820783,-3.054172767306734,-1.7829355326908107,1.8922849128521055,-1.6914414378168467,-2.0502720854530327,-1.4476948180188103
5.2,return,,0.4312757076891949,0.0489016832999361,0.45274539259636215,0.14935323918132742,-3.263572767306734,-1.7353003655381296,1.8289598118810415,-1.6798171492969827,-1.9069407365777584,-1.680546802673982
5.3,return,,0.44086951691198323,-0.028983215202504006,0.45153255112301033,0.07403559395357111,-3.4729727673067337,-1.7245163223116091,1.8112773265786315,-1.6663572052434972,-1.751479678482762,-1.8972611084876618
5.4,idle,,0.4211760763580309,-0.09748327563256876,0.45033620655234363,0.0027982301526822723,-3.6823727673067332,-1.7595275281939784,1.8368746359815256,-1.6498413557047633,-1.578292400114537,-2.1103969546260033
5.5,idle,,0.4200063572999702,-0.0999914180337307,0.4500008101431818,1.0710823494669127e-05,-3.6908872471294027,-1.7611199979060552,1.8385554150518306,-1.6482254284189997,-1.5708229230682116,-2.120037918742168
5.6,idle,,0.4200063572502889,-0.09999141809461552,0.4500008101535605,1.0710746008365783e-05,-3.6908872474511085,-1.761119998012838,1.8385554150806782,-1.6482254282261295,-1.5708229225265133,-2.1200379196242483
5.7,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
5.8,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
5.9,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
6.0,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
6.1,idle,,0.42000635725028423,-0.09999141809462227,0.4500008101535601,1.0710746000160492e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806862,-1.6482254282261295,-1.570822922526515,-2.1200379196242656
6.2,idle,,0.4200063572502842,-0.09999141809462234,0.4500008101535603,1.0710746000088742e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.1200379196242656
6.3,idle,,0.4200063572502841,-0.09999141809462238,0.4500008101535602,1.0710746000014037e-05,-3.6908872474511285,-1.7611199980128456,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242665
6.4,idle,,0.4200063572502842,-0.09999141809462236,0.4500008101535602,1.0710746000058105e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.648225428226129,-1.5708229225265147,-2.120037919624266
6.5,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535601,1.0710746000127954e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
6.6,idle,,0.4200063572502841,-0.0999914180946223,0.4500008101535602,1.0710746000080754e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265145,-2.120037919624266
6.7,idle,,0.4200063572502842,-0.09999141809462218,0.4500008101535601,1.0710746000194262e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261288,-1.5708229225265147,-2.120037919624266
6.8,idle,,0.4200063572502843,-0.09999141809462207,0.4500008101535602,1.071074600035751e-05,-3.6908872474511276,-1.7611199980128454,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
6.9,idle,,0.420006357250284,-0.09999141809462234,0.45000081015355986,1.0710745999956306e-05,-3.6908872474511285,-1.7611199980128458,1.8385554150806864,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
7.0,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
7.1,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
7.2,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
7.3,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
7.4,idle,,0.42000635725028423,-0.09999141809462227,0.4500008101535601,1.0710746000160492e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806862,-1.6482254282261295,-1.570822922526515,-2.1200379196242656
7.5,idle,,0.4200063572502842,-0.09999141809462234,0.4500008101535603,1.0710746000088742e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.1200379196242656
7.6,idle,,0.4200063572502841,-0.09999141809462238,0.4500008101535602,1.0710746000014037e-05,-3.6908872474511285,-1.7611199980128456,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242665
7.7,idle,,0.4200063572502842,-0.09999141809462236,0.4500008101535602,1.0710746000058105e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.648225428226129,-1.5708229225265147,-2.120037919624266
7.8,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535601,1.0710746000127954e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
7.9,idle,,0.4200063572502841,-0.0999914180946223,0.4500008101535602,1.0710746000080754e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265145,-2.120037919624266
8.0,idle,,0.4200063572502842,-0.09999141809462218,0.4500008101535601,1.0710746000194262e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261288,-1.5708229225265147,-2.120037919624266
8.1,idle,,0.4200063572502843,-0.09999141809462207,0.4500008101535602,1.071074600035751e-05,-3.6908872474511276,-1.7611199980128454,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
8.2,idle,,0.420006357250284,-0.09999141809462234,0.45000081015355986,1.0710745999956306e-05,-3.6908872474511285,-1.7611199980128458,1.8385554150806864,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
8.3,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
8.4,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
8.5,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
8.6,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
8.7,idle,,0.42000635725028423,-0.09999141809462227,0.4500008101535601,1.0710746000160492e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806862,-1.6482254282261295,-1.570822922526515,-2.1200379196242656
8.8,idle,,0.4200063572502842,-0.09999141809462234,0.4500008101535603,1.0710746000088742e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.1200379196242656
8.9,idle,,0.4200063572502841,-0.09999141809462238,0.4500008101535602,1.0710746000014037e-05,-3.6908872474511285,-1.7611199980128456,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242665
9.0,idle,,0.4200063572502842,-0.09999141809462236,0.4500008101535602,1.0710746000058105e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.648225428226129,-1.5708229225265147,-2.120037919624266
9.1,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535601,1.0710746000127954e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
9.2,idle,,0.4200063572502841,-0.0999914180946223,0.4500008101535602,1.0710746000080754e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265145,-2.120037919624266
9.3,idle,,0.4200063572502842,-0.09999141809462218,0.4500008101535601,1.0710746000194262e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261288,-1.5708229225265147,-2.120037919624266
9.4,idle,,0.4200063572502843,-0.09999141809462207,0.4500008101535602,1.071074600035751e-05,-3.6908872474511276,-1.7611199980128454,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
9.5,idle,,0.420006357250284,-0.09999141809462234,0.45000081015355986,1.0710745999956306e-05,-3.6908872474511285,-1.7611199980128458,1.8385554150806864,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
9.6,idle,,0.4200063572502842,-0.09999141809462227,0.4500008101535603,1.071074600014434e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
9.7,idle,,0.4200063572502842,-0.09999141809462223,0.45000081015355997,1.0710746000152505e-05,-3.690887247451128,-1.7611199980128454,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
9.8,idle,,0.42000635725028407,-0.09999141809462236,0.4500008101535603,1.0710746000000606e-05,-3.6908872474511285,-1.7611199980128458,1.838555415080686,-1.6482254282261293,-1.5708229225265147,-2.120037919624266
9.9,idle,,0.4200063572502842,-0.0999914180946222,0.4500008101535601,1.0710746000183142e-05,-3.690887247451128,-1.7611199980128456,1.838555415080686,-1.648225428226129,-1.5708229225265145,-2.120037919624266
10.0,idle,,0.42000635725028423,-0.09999141809462227,0.4500008101535601,1.0710746000160492e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806862,-1.6482254282261295,-1.570822922526515,-2.1200379196242656
10.1,idle,,0.4200063572502842,-0.09999141809462234,0.4500008101535603,1.0710746000088742e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806855,-1.648225428226129,-1.5708229225265147,-2.1200379196242656
10.2,pick,n-large-2,0.40667988588097054,-0.1665728630685934,0.32624705941444065,0.32018306067832936,-3.8165272474511283,-1.6354799980128465,2.0270754150806862,-1.8367454282261293,-1.6703506673175366,-2.2720718250746765
10.3,pick,n-large-2,0.4246344318918534,-0.25903969276017685,0.2522266271847412,0.2103559419671669,-3.982605480913837,-1.4260799980128465,2.046416853974743,-2.1509454282261298,-1.4727985572277231,-2.416002973181452
10.4,pick,n-large-2,0.48463042418128954,-0.28747524219936776,0.20758657972975325,0.12663830574154833,-3.925769388926142,-1.2166799980128464,1.931536090726844,-2.3133073079243274,-1.523350427505981,-2.351018491783576
10.5,pick,n-large-2,0.5436081313421105,-0.31405155955375924,0.154192320629858,0.0391516394562848,-3.882907644600139,-1.0072799980128468,1.7619152497506276,-2.329658939451721,-1.5564215997709696,-2.31173703447412
10.6,lift,n-large-2,0.6107490425260174,-0.3557888495637884,0.3037754073195283,0.07653882267813925,-3.8595619690571072,-1.049159998012847,1.5022681034743586,-2.401404776213112,-1.5725426961753244,-2.2884089852940037
10.7,lift,n-large-2,0.5757982048144117,-0.33452326738503046,0.3649971830731084,0.01655966360260278,-3.871073731892933,-1.1881598694288398,1.4886255704333655,-2.087204776213112,-1.5671390374612812,-2.2997506682249527
10.8,reject,n-large-2,0.5470664549100651,-0.19319834932743793,0.34014299372699625,0.783802054309707,-3.7478270492863173,-1.3300437671762897,1.6566371804864328,-1.7730047762131114,-1.3802904746363998,-2.2254435870841243
10.9,reject,n-large-2,0.4468295226022947,0.007836064908029489,0.2961428712154291,0.5624860723800661,-3.538427049286317,-1.5394437671762897,1.9708371804864333,-1.4588047762131109,-1.0936227363338495,-2.075384109082149
11.0,reject,n-large-2,0.34317573163001147,0.13044625307182395,0.27236192345971655,0.421501920186095,-3.3290270492863177,-1.7488437671762886,2.248246982028754,-1.5308285458255324,-0.9507347718912592,-1.8837837202827337
11.1,reject,n-large-2,0.30251229903513477,0.19318133727574843,0.34174181886733335,0.3483436067094598,-3.1196270492863176,-1.9582437671762887,2.2821853690556213,-1.8450285458255324,-1.01819395525986,-1.5695837202827336
11.2,reject,n-large-2,0.3051369977395868,0.26110897056314103,0.34481443210462864,0.2811369660272245,-2.910227049286318,-1.8326037671762891,2.2137384278670216,-1.9874736382029192,-1.0451008758941263,-1.353148323900792
11.3,reject,n-large-2,0.3283510157077041,0.3466415555120823,0.35368860436189253,0.20243445106573216,-2.700827049286318,-1.6232037671762896,2.0026918824393514,-1.9836425759985903,-1.1655302038751776,-1.1501472445299983
11.4,reject,n-large-2,0.3274740769324459,0.4492555253937571,0.343588003813306,0.10747419672723342,-2.4914270492863184,-1.41380376717629,1.7904490201430396,-1.964508330896154,-1.3142516249855611,-0.9348161644277675
11.5,return,,0.27776329992164384,0.5321051550450929,0.3407605420134308,0.011098460554942315,-2.282027049286319,-1.297098449816546,1.6401162263655606,-1.9175960020364333,-1.5416084862606634,-0.7125436830300623
11.6,return,,0.3103814519669259,0.36905616186032586,0.347737928189706,0.4924301375656787,-2.491427049286318,-1.5064984498165457,1.8167649997696402,-1.6033960020364333,-1.8558084862606634,-0.869963149920035
11.7,return,,0.3392360993123236,0.2497507760148089,0.4357373558166267,0.3592378543477168,-2.700827049286318,-1.7158984498165457,1.8402223812082643,-1.5416119687307144,-2.127606180589495,-1.0988787209317252
11.8,return,,0.35043437530185,0.16827984549049038,0.45009120931728425,0.27715241286192116,-2.9102270492863176,-1.8348108400837027,1.9302164483648365,-1.6705519316545618,-2.100886931498423,-1.3006673831999203
11.9,return,,0.4055225893092027,0.10198887557149033,0.4537442145259585,0.20254165106802455,-3.1196270492863176,-1.7708447545952326,1.8643335827755094,-1.6845847676200632,-1.992620713480528,-1.5319800600768394
12.0,return,,0.4379360492809602,0.024022022427932527,0.4520656452308331,0.12532928947833102,-3.329027049286317,-1.7260394369486487,1.818814732825026,-1.6760697132955285,-1.86287359978735,-1.7471752756715082
12.1,return,,0.4375959529815963,-0.051835480354383776,0.4511853881909744,0.05129175040088613,-3.538427049286317,-1.730666789926376,1.8146240146677948,-1.6614406957676693,-1.6978999403897723,-1.9644751826399964
12.2,idle,,0.42000861654315297,-0.09998767771513753,0.45000011103238763,1.5036483908491989e-05,-3.6908691806699263,-1.7611168237557395,1.8385578574870676,-1.6482434516588738,-1.570853376370656,-2.119988591535214
12.3,idle,,0.4200063572503855,-0.09999141809441911,0.4500008101532805,1.0710746201886249e-05,-3.690887247450044,-1.7611199980130976,1.8385554150822982,-1.648225428230213,-1.5708229225287023,-2.1200379196208328
12.4,idle,,0.42000635725028407,-0.09999141809462231,0.4500008101535601,1.0710746000028289e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806862,-1.648225428226129,-1.5708229225265145,-2.120037919624266
12.5,idle,,0.4200063572502842,-0.099991418094622,0.45000081015355986,1.0710746000322018e-05,-3.6908872474511276,-1.7611199980128451,1.8385554150806855,-1.6482254282261288,-1.570822922526515,-2.120037919624265
12.6,idle,,0.4200063572502842,-0.09999141809462225,0.45000081015355986,1.0710746000121868e-05,-3.690887247451128,-1.7611199980128451,1.8385554150806858,-1.6482254282261288,-1.5708229225265147,-2.1200379196242656
12.7,idle,,0.42000635725028423,-0.099991418094622,0.45000081015355986,1.0710746000354966e-05,-3.6908872474511276,-1.7611199980128451,1.8385554150806855,-1.6482254282261286,-1.5708229225265147,-2.120037919624265
12.8,idle,,0.4200063572502841,-0.09999141809462238,0.4500008101535602,1.0710746000014037e-05,-3.6908872474511285,-1.7611199980128456,1.838555415080686,-1.6482254282261288,-1.5708229225265147,-2.1200379196242665
12.9,idle,,0.4200063572502842,-0.09999141809462236,0.4500008101535602,1.0710746000058105e-05,-3.6908872474511285,-1.7611199980128456,1.8385554150806858,-1.648225428226129,-1.5708229225265147,-2.120037919624266
13.0,idle,,0.4200063572502841,-0.09999141809462223,0.4500008101535601,1.0710746000127954e-05,-3.690887247451128,-1.7611199980128456,1.8385554150806858,-1.6482254282261286,-1.5708229225265147,-2.1200379196242656
