uid,class,observations,anomaly_max,p_reject_mean
73,plastic_chip,3,22.085748077801423,0.21429887391667482
74,wrong_size,3,12.342966676818877,0.0018954789178356165
75,good,3,2.9817911862662996,6.825984571614685e-05
76,wrong_size,3,16.326204990878402,2.5466181635987206e-05
77,good,3,7.728099781803075,0.13653610834451463
78,good,3,2.907736988477912,0.0003016181855289211
79,odd_colour,4,351.2300948136804,0.7455541424453365
81,good,2,3.1057853432118967,0.0003953837699921171
83,good,1,1.939677429124882,0.00010385162440476622
84,good,3,2.5671356730669608,4.769390517433991e-05
86,good,3,3.2958968642507593,0.00017113743510983103
87,wrong_size,3,12.549204373097789,0.058331103657654676
88,good,4,3.1382962179071474,0.00017845710115357887
89,good,4,2.720455298725143,0.00014524003802724315
90,good,3,2.5751826629924954,3.7396918189526384e-05
91,plastic_chip,3,23.15880641599246,0.23454072940549783
92,good,3,3.0180661496911125,2.0813987590129374e-05
93,good,4,2.5653521315980905,2.41966018027377e-05
94,wrong_size,2,10.626182260601478,7.210298722718292e-05
95,odd_colour,4,189.37004369551383,0.9494253264016198
96,good,3,2.6788523834327536,6.536492688642062e-05
97,good,3,2.5262754837605885,0.0001336230167035453
98,good,4,3.0115904809274987,0.0003322217006567744
99,good,2,4.1638434618546905,0.11178936187616362
100,good,3,2.9553548101596796,0.008398478532066168
101,good,3,3.1056837717310297,0.000128877640439763
102,odd_colour,4,450.7595989358636,0.9861339767804791
103,good,3,2.6143534294926916,0.001161593568329701
104,good,4,2.0210201419558738,3.45874212641906e-05
106,wrong_size,3,7.91459296378686,0.007381102772620006
107,plastic_chip,2,22.240681379661837,0.39014292110432797
108,good,4,4.268201083336027,0.000820188317475768
109,good,3,3.0764976859217006,8.65453631477501e-06
111,odd_colour,4,226.26346845407915,0.9941998997697978
112,good,4,2.264208099470572,5.539567192804114e-05
113,good,3,2.392877098064147,0.026444903584300638
114,good,3,2.9608493227989916,0.27966656366061976
115,good,3,4.230412086586924,0.06668456211752723
116,plastic_chip,2,23.96520667154265,0.41222924595164456
117,good,3,3.6184467452721494,0.0054342233653540545
118,odd_colour,3,145.55980240253476,0.9558995219017804
119,good,3,3.0140445099508932,0.000715839610938648
120,good,3,4.919482729811552,0.9315881065278474
121,good,3,2.052939145609,0.0003124011584111683
122,good,4,4.32568831636412,9.435727500854765e-05
123,good,3,3.7656848562961773,0.0005002535979800825
124,plastic_chip,10,23.130895746907747,0.5847686823215849
125,plastic_chip,3,21.92391641288089,0.5525977146457527
126,good,4,4.458208670995033,0.017251971803166583
127,good,3,1.6038746837401658,0.00024502051537305004
128,wrong_size,3,9.436700930525715,0.0063346233662802676
129,good,4,2.368888911951476,0.0006968546286803311
130,good,3,3.2041074312348057,0.12264035242891168
131,wrong_size,3,11.322041844955223,0.15697226281235807
132,odd_colour,3,219.44279944986098,0.9823438860640902
133,odd_colour,4,286.1464023964935,0.9507627262951586
134,good,3,1.9861914495937638,3.236462702114058e-05
135,wrong_size,3,12.372430490104318,0.0357473763983102
136,good,4,5.02514677312018,0.018902542894668816
137,wrong_size,3,11.243838880148123,0.004056619071723865
138,odd_colour,4,171.0809908578579,0.8905025651238206
139,good,3,2.2217641870973552,0.0207381992921207
140,good,3,2.7559061368058035,0.016735298530632287
141,good,3,3.6346158552835477,0.003023804795623894
143,good,3,1.9173421739526793,0.0001431706274856198
144,odd_colour,3,249.03678369126607,0.8916053255659805
145,good,1,3.575579241366019,0.06133508583724165
147,plastic_chip,3,23.932841073072748,0.39775189325088284
148,good,3,1.9209977963283145,5.111681119004574e-05
150,good,4,2.984154657941313,0.004021258456422304
